Question,Answer
How to diagnose Cutaneous mastocytosis ?,"How is cutaneous mastocytosis diagnosed? A diagnosis of cutaneous mastocytosis is typically suspected based on the presence of suspicious signs and symptoms. A skin biopsy that reveals a high number of mast cells (immune cells that are important for the inflammatory response) confirms the diagnosis. Unfortunately it can sometimes be difficult to differentiate cutaneous mastocytosis from systemic mastocytosis. Additional tests may, therefore, be ordered to further investigate the risk for systemic disease. A bone marrow biopsy and specialized blood tests may be recommended in adults with cutaneous mastocytosis since they are at a higher risk for systemic mastocytosis. Affected children typically do not undergo a bone marrow biopsy unless blood tests are abnormal."
Do you have information about Cosmetics,"Summary : Cosmetics are products you apply to your body to clean it, make it more attractive, or change the way it looks. They include       -  Hair dyes     -  Makeup     -  Perfumes     -  Skin-care creams        Cosmetics that treat or prevent diseases are also drugs. Products such as dandruff shampoo, fluoride toothpaste, and antiperspirant deodorant are both cosmetics and drugs. A good way to tell if you're buying a cosmetic that is also a drug is to see if the first ingredient listed is an ""active ingredient."" The active ingredient is the chemical that makes the product effective. The manufacturer must have proof that it's safe for its intended use.    Cosmetics can cause allergic reactions. The first sign is often red and irritated skin. Fragrances and preservatives are the most common causes of skin problems.    To find out all the ingredients in a cosmetic you use, check the container. Manufacturers are required to list them. Labels such as ""natural"" and ""hypoallergenic"" have no official meaning. Companies can use them to mean whatever they want.     Food and Drug Administration"
Is familial porencephaly inherited ?,"This condition is inherited in an autosomal dominant pattern, which means one copy of the altered gene in each cell is sufficient to cause the disorder."
What is (are) hepatic veno-occlusive disease with immunodeficiency ?,"Hepatic veno-occlusive disease with immunodeficiency (also called VODI) is a hereditary disorder of the liver and immune system. Its signs and symptoms appear after the first few months of life.  Hepatic veno-occlusive disease is a condition that blocks (occludes) small veins in the liver, disrupting blood flow in this organ. This condition can lead to enlargement of the liver (hepatomegaly), a buildup of scar tissue (hepatic fibrosis), and liver failure.  Children with VODI are prone to recurrent infections caused by certain bacteria, viruses, and fungi. The organisms that cause infection in people with this disorder are described as opportunistic because they ordinarily do not cause illness in healthy people. These infections are usually serious and may be life-threatening. In most people with VODI, infections occur before hepatic veno-occlusive disease becomes evident.  Many people with VODI live only into childhood, although some affected individuals have lived to early adulthood."
What is (are) Gout ?,"Gout is a form of arthritis that causes sudden onset of intense pain and swelling in the joints, which also may be warm and red. Attacks frequently occur at night and can be triggered by stressful events, alcohol or drugs, or the presence of another illness. Sometime during the course of the disease, many people will develop gout in the big toe. Gout frequently affects joints in the lower part of the body such as the knees, ankles, or toes."
How many people are affected by mevalonate kinase deficiency ?,More than 200 people with mevalonate kinase deficiency have been reported worldwide; the majority of these individuals have HIDS.
What are the genetic changes related to polymicrogyria ?,"In most people with polymicrogyria, the cause of the condition is unknown. However, researchers have identified several environmental and genetic factors that can be responsible for the disorder. Environmental causes of polymicrogyria include certain infections during pregnancy and a lack of oxygen to the fetus (intrauterine ischemia).  Researchers are investigating the genetic causes of polymicrogyria. The condition can result from deletions or rearrangements of genetic material from several different chromosomes. Additionally, mutations in one gene, ADGRG1, have been found to cause a severe form of the condition called bilateral frontoparietal polymicrogyria (BFPP). The ADGRG1 gene appears to be critical for the normal development of the outer layer of the brain. Researchers believe that many other genes are probably involved in the different forms of polymicrogyria."
What are the treatments for Abdominal Adhesions ?,"Abdominal adhesions that do not cause symptoms generally do not require treatment. Surgery is the only way to treat abdominal adhesions that cause pain, intestinal obstruction, or fertility problems. More surgery, however, carries the risk of additional abdominal adhesions. People should speak with their health care provider about the best way to treat their abdominal adhesions.
                
Complete intestinal obstructions usually require immediate surgery to clear the blockage. Most partial intestinal obstructions can be managed without surgery."
What is (are) Barber Say syndrome ?,"Barber Say syndrome is a very rare condition characterized by the association of excessive hair growth (hypertrichosis), papery thin and fragile (atrophic) skin, outward turned eyelids (ectropion) and a large mouth (macrostomia). It has been described in less than 20 patients in the medical literature. Barber Say syndrome has a variable presentation, with reports of both mild and severe cases. Inheritance has been debated, with qualities suggestive of autosomal dominant and autosomal recessive. A recent study suggests that at least some cases of Barber Say syndrome are caused by dominant mutations in the TWIST2 gene. Treatment remains a challenge for both patients and doctors, and requires a multidisciplinary approach."
What are the symptoms of Tracheal agenesis ?,"What are the signs and symptoms of Tracheal agenesis? The Human Phenotype Ontology provides the following list of signs and symptoms for Tracheal agenesis. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Abnormality of the cardiac septa 90% Aplasia/Hypoplasia of the lungs 90% Polyhydramnios 90% Respiratory insufficiency 90% Tracheal stenosis 90% The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common."
What are the symptoms of Proximal chromosome 18q deletion syndrome ?,"What are the signs and symptoms of Proximal chromosome 18q deletion syndrome? The Human Phenotype Ontology provides the following list of signs and symptoms for Proximal chromosome 18q deletion syndrome. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Absence of the pulmonary valve - Aortic valve stenosis - Asthma - Atopic dermatitis - Atresia of the external auditory canal - Atria septal defect - Autosomal dominant inheritance - Bifid uvula - Blepharophimosis - Broad-based gait - Cerebellar hypoplasia - Choanal stenosis - Chorea - Cleft palate - Cleft upper lip - Conductive hearing impairment - Congestive heart failure - Cryptorchidism - Delayed CNS myelination - Depressed nasal bridge - Dilatation of the ascending aorta - Downturned corners of mouth - Dysplastic aortic valve - Dysplastic pulmonary valve - Epicanthus - Failure to thrive in infancy - Flat midface - Growth hormone deficiency - Hypertelorism - Hypoplasia of midface - Hypospadias - Inguinal hernia - Intellectual disability - Joint laxity - Low anterior hairline - Macrotia - Malar flattening - Mandibular prognathia - Microcephaly - Micropenis - Motor delay - Muscular hypotonia - Nystagmus - Optic atrophy - Overlapping toe - Patent ductus arteriosus - Pes cavus - Pes planus - Phenotypic variability - Poor coordination - Prominent nose - Proximal placement of thumb - Recurrent respiratory infections - Rocker bottom foot - Scoliosis - Secretory IgA deficiency - Seizures - Sensorineural hearing impairment - Short neck - Short palpebral fissure - Short philtrum - Short stature - Sporadic - Stenosis of the external auditory canal - Strabismus - Talipes equinovarus - Tapetoretinal degeneration - Toe syndactyly - Tremor - Umbilical hernia - U-Shaped upper lip vermilion - Ventricular septal defect - Ventriculomegaly - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common."
What is (are) Renal oncocytoma ?,"Renal oncocytoma is a benign (noncancerous) growth of the kidney. They generally do not cause any signs or symptoms and are often discovered incidentally (by chance) while a person is undergoing diagnostic imaging for other conditions. Some people with renal oncocytoma will have abdominal or flank pain; blood in the urine; and/or an abdominal mass. Although these tumors can occur in people of all ages, they most commonly develop in men who are over age 50. The exact underlying cause of most isolated (single tumor affecting one kidney) renal oncocytomas is unknown; however, multiple and bilateral (affecting both kidneys) renal oncocytomas sometimes occur in people with certain genetic syndromes such as tuberous sclerosis complex and Birt-Hogg-Dube syndrome. Although many benign tumors do not require treatment unless they are causing unpleasant symptoms, it can be difficult to confidently differentiate a renal oncocytoma from renal cell carcinoma. Most affected people are, therefore, treated with surgery which allows for confirmation of the diagnosis."
What is (are) Prescription Drug Abuse ?,"If you take a medicine in a way that is different from what the doctor prescribed, it is called prescription drug abuse. It could be       - Taking a medicine that was prescribed for someone else    - Taking a larger dose than you are supposed to    - Taking the medicine in a different way than you are supposed to. This might be crushing tablets and then snorting or injecting them.    - Using the medicine for another purpose, such as getting high       Abusing some prescription drugs can lead to addiction. These include narcotic painkillers, sedatives, tranquilizers, and stimulants.    Every medicine has some risk of side effects. Doctors take this into account when prescribing medicines. People who abuse these drugs may not understand the risks. The medicines may not be safe for them, especially at higher doses or when taken with other medicines.     NIH: National Institute on Drug Abuse"
What is (are) Nutrition for Advanced Chronic Kidney Disease in Adults ?,"Too much sodium in a person's diet can be harmful because it causes blood to hold fluid. People with CKD need to be careful not to let too much fluid build up in their bodies. The extra fluid raises blood pressure and puts a strain on the heart and kidneys. A dietitian can help people find ways to reduce the amount of sodium in their diet. Nutrition labels provide information about the sodium content in food. The U.S. Food and Drug Administration advises that healthy people should limit their daily sodium intake to no more than 2,300 milligrams (mg), the amount found in 1 teaspoon of table salt. People who are at risk for a heart attack or stroke because of a condition such as high blood pressure or kidney disease should limit their daily sodium intake to no more than 1,500 mg. Choosing sodium-free or low-sodium food products will help them reach that goal.
                
Sodium is found in ordinary table salt and many salty seasonings such as soy sauce and teriyaki sauce. Canned foods, some frozen foods, and most processed meats have large amounts of salt. Snack foods such as chips and crackers are also high in salt.
                
Alternative seasonings such as lemon juice, salt-free seasoning mixes, and hot pepper sauce can help people reduce their salt intake. People with advanced CKD should avoid salt substitutes that use potassium, such as AlsoSalt or Nu-Salt, because CKD limits the body's ability to eliminate potassium from the blood. The table below provides some high-sodium foods and suggestions for low-sodium alternatives that are healthier for people with any level of CKD who have high blood pressure.
                
High- and Low-sodium Foods
                
High-sodium Foods    Low-sodium Alternatives        Salt Regular canned vegetables Hot dogs and canned meat Packaged rice with sauce Packaged noodles with sauce Frozen vegetables with sauce Frozen prepared meals Canned soup Regular tomato sauce Snack foods    Salt-free herb seasonings Low-sodium canned foods Frozen vegetables without sauce Fresh, cooked meat Plain rice without sauce Plain noodles without sauce Fresh vegetables without sauce Homemade soup with fresh ingredients Reduced-sodium tomato sauce Unsalted pretzels Unsalted popcorn"
What is (are) Nutrition for Advanced Chronic Kidney Disease in Adults ?,"As CKD progresses, people often lose their appetites because they find that foods do not taste the same. As a result, they consume fewer caloriesimportant units of energy in foodand may lose too much weight. Renal dietitians can help people with advanced CKD find healthy ways to add calories to their diet if they are losing too much weight.
                
Top"
How many people are affected by gastrointestinal stromal tumor ?,"Approximately 5,000 new cases of GIST are diagnosed in the United States each year. However, GISTs may be more common than this estimate because small tumors may remain undiagnosed."
What is (are) Congenital lobar emphysema ?,"Congenital lobar emphysema is a rare respiratory disorder in which air can enter the lungs but cannot escape, causing overinflation (hyperinflation) of the lobes of the lung. It is most often detected in newborns or young infants, but some cases do not become apparent until adulthood. Signs and symptoms may include difficulty breathing and respiratory distress in infancy, an enlarged chest, compressed lung tissue, cyanosis, and underdevelopment of the cartilage that supports the bronchial tube (bronchial hypoplasia). This disorder may be severe enough to cause associated heart problems (15% of cases) or so mild as to never become apparent. Some cases may be caused by autosomal dominant inheritance while others occur for no apparent reason (sporadic)."
What is (are) Lupus ?,"Lupus is an autoimmune disease that can affect almost every organ in the body. Symptoms of lupus can range from very mild to life-threatening. There are three types of lupus; systemic lupus erythematosus, discoid lupus, and drug-induced lupus. Genetics is thought to play a role in the development of lupus along with other lifestyle and environmental factors. Studies suggest that a number of different genes may be involved in determining a persons likelihood of developing the disease, which tissues and organs are affected, and the severity of disease. The treatment of lupus depends on the severity of the condition and what parts of the body are affected. Treatment may include acetaminophen, ibuprofen, antimalarial drugs, anti-inflammatory steroids, and/or immunosuppressive drugs."
What is (are) Megalencephaly ?,"Megalencephaly, also called macrencephaly, is a condition in which an infant or child has an abnormally large, heavy, and usually malfunctioning brain. By definition, the brain weight is greater than average for the age and gender of the child. Head enlargement may be evident at birth or the head may become abnormally large in the early years of life. Megalencephaly is thought to be related to a disturbance in the regulation of cell production in the brain. In normal development, neuron proliferation - the process in which nerve cells divide to form new generations of cells - is regulated so that the correct number of cells is produced in the proper place at the appropriate time. In a megalencephalic brain, too many cells are produced either during development or progressively as part of another disorder, such as one of the neurofibromatoses or leukodystrophies. Symptoms of megalencephaly include delayed development, seizures, and corticospinal (brain cortex and spinal cord) dysfunction. Megalencephaly affects males more often than females. Unilateral megalencephaly or hemimegalencephaly is a rare condition that is characterized by the enlargement of one side of the brain. Children with this disorder may have a large, asymmetrical head accompanied by seizures, partial paralysis, and impaired cognitive development. Megalencephaly is different from macrocephaly (also called megacephaly or megalocephaly), which describes a big head, and which doesnt necessarily indicate abnormality. Large head size is passed down through the generations in some families."
What are the treatments for Anxiety Disorders ?,"Exposure-based treatment has been used for many years to treat specific phobias. The person gradually encounters the object or situation that is feared, perhaps at first only through pictures or tapes, then later face-to-face. Sometimes the therapist will accompany the person to a feared situation to provide support and guidance. Exposure exercises are undertaken once the patient decides he is ready for it and with his cooperation. To be effective, therapy must be directed at the persons specific anxieties and must be tailored to his or her needs. A typical side effect is temporary discomfort involved with thinking about confronting feared situations."
What are the genetic changes related to Russell-Silver syndrome ?,"The genetic causes of Russell-Silver syndrome are complex. The disorder often results from the abnormal regulation of certain genes that control growth. Research has focused on genes located in particular regions of chromosome 7 and chromosome 11.  People normally inherit one copy of each chromosome from their mother and one copy from their father. For most genes, both copies are expressed, or ""turned on,"" in cells. For some genes, however, only the copy inherited from a person's father (the paternal copy) is expressed. For other genes, only the copy inherited from a person's mother (the maternal copy) is expressed. These parent-specific differences in gene expression are caused by a phenomenon called genomic imprinting. Both chromosome 7 and chromosome 11 contain groups of genes that normally undergo genomic imprinting. Abnormalities involving these genes appear to be responsible for many cases of Russell-Silver syndrome.  Researchers suspect that at least one third of all cases of Russell-Silver syndrome result from changes in a process called methylation. Methylation is a chemical reaction that attaches small molecules called methyl groups to certain segments of DNA. In genes that undergo genomic imprinting, methylation is one way that a gene's parent of origin is marked during the formation of egg and sperm cells. Russell-Silver syndrome has been associated with changes in methylation involving the H19 and IGF2 genes, which are located near one another on chromosome 11. These genes are thought to be involved in directing normal growth. A loss of methylation disrupts the regulation of these genes, which leads to slow growth and the other characteristic features of this disorder.  Abnormalities involving genes on chromosome 7 also cause Russell-Silver syndrome. In 7 percent to 10 percent of cases, people inherit both copies of chromosome 7 from their mother instead of one copy from each parent. This phenomenon is called maternal uniparental disomy (UPD). Maternal UPD causes people to have two active copies of maternally expressed imprinted genes rather than one active copy from the mother and one inactive copy from the father. These individuals do not have a paternal copy of chromosome 7 and therefore do not have any copies of genes that are active only on the paternal copy. In cases of Russell-Silver syndrome caused by maternal UPD, an imbalance in active paternal and maternal genes on chromosome 7 underlies the signs and symptoms of the disorder.  In at least 40 percent of people with Russell-Silver syndrome, the cause of the condition is unknown. It is possible that changes in chromosomes other than 7 and 11 may play a role. Researchers are working to identify additional genetic changes that underlie this disorder."
Is phosphoribosylpyrophosphate synthetase superactivity inherited ?,"This condition is inherited in an X-linked pattern. The gene associated with this condition is located on the X chromosome, which is one of the two sex chromosomes. In males (who have only one X chromosome), a mutation in the only copy of the gene in each cell causes the disorder. In females (who have two X chromosomes), a mutation in one of the two copies of the gene in each cell sometimes causes the disorder.  In most reported cases, affected individuals have inherited the mutation from a parent who carries an altered copy of the PRPS1 gene. A characteristic of X-linked inheritance is that fathers cannot pass X-linked traits to their sons. PRS superactivity may also result from new mutations in the PRPS1 gene and can occur in people with no history of the disorder in their family."
What are the treatments for High Blood Cholesterol ?,"High blood cholesterol is treated with lifestyle changes and medicines. The main goal of treatment is to lower your low-density lipoprotein (LDL) cholesterol level enough to reduce your risk for coronary heart disease, heart attack, and other related health problems.
                
Your risk for heart disease and heart attack goes up as your LDL cholesterol level rises and your number of heart disease risk factors increases.
                
Some people are at high risk for heart attacks because they already have heart disease. Other people are at high risk for heart disease because they have diabetes or more than one heart disease risk factor.
                
Talk with your doctor about lowering your cholesterol and your risk for heart disease. Also, check the list to find out whether you have risk factors that affect your LDL cholesterol goal:
                
Cigarette smoking
                
High blood pressure (140/90 mmHg or higher), or youre on medicine to treat high blood pressure
                
Low high-density lipoprotein (HDL) cholesterol (less than 40 mg/dL)
                
Family history of early heart disease (heart disease in father or brother before age 55; heart disease in mother or sister before age 65)
                
Age (men 45 years or older; women 55 years or older)
                
You can use the NHLBI 10-Year Risk Calculator to find your risk score. The score, given as a percentage, refers to your chance of having a heart attack in the next 10years.
                
Based on your medical history, number of risk factors, and risk score, figure out your risk of getting heart disease or having a heart attack using the table below.
                
* Some people in this category are at very high risk because theyve just had a heart attack or they have diabetes and heart disease, severe risk factors, or metabolic syndrome. If youre at very high risk, your doctor may set your LDL goal even lower, to less than 70 mg/dL. Your doctor also may set your LDL goal at this lower level if you have heart disease alone.
                
After following the above steps, you should have an idea about your risk for heart disease and heart attack. The two main ways to lower your cholesterol (and, thus, your heart disease risk) include:
                
Therapeutic Lifestyle Changes (TLC). TLC is a three-part program that includes a healthy diet, weight management, and physical activity. TLC is for anyone whose LDL cholesterol level is above goal.
                
Medicines. If cholesterol-lowering medicines are needed, theyre used with the TLC program to help lower your LDL cholesterol level.
                
Your doctor will set your LDL goal. The higher your risk for heart disease, the lower he or she will set your LDL goal. Using the following guide, you and your doctor can create a plan for treating your high blood cholesterol.
                
Category I, high risk, your LDL goal is less than 100 mg/dL.*
                
* Your LDL goal may be set even lower, to less than 70 mg/dL, if youre at very high risk or if you have heart disease. If you have this lower goal and your LDL is 70 mg/dL or higher, youll need to begin the TLC diet and take medicines as prescribed.
                
Category II, moderately high risk, your LDL goal is less than 130 mg/dL
                
Category III, moderate risk, your LDL goal is less than 130 mg/dL.
                
Category IV, low to moderate risk, your LDL goal is less than 160 mg/dL.
                

                
Lowering Cholesterol Using Therapeutic Lifestyle Changes
                

                
TLC is a set of lifestyle changes that can help you lower your LDL cholesterol. The main parts of the TLC program are a healthy diet, weight management, and physical activity.
                
The TLC Diet
                
With the TLC diet, less than 7 percent of your daily calories should come from saturated fat. This kind of fat is found in some meats, dairy products, chocolate, baked goods, and deep-fried and processed foods.
                
No more than 25 to 35 percent of your daily calories should come from all fats, including saturated, trans, monounsaturated, and polyunsaturated fats.
                
You also should have less than 200 mg a day of cholesterol. The amounts of cholesterol and the types of fat in prepared foods can be found on the foods' Nutrition Facts labels.
                
Foods high in soluble fiber also are part of the TLC diet. They help prevent the digestive tract from absorbing cholesterol. These foods include:
                
Whole-grain cereals such as oatmeal and oat bran
                
Fruits such as apples, bananas, oranges, pears, and prunes
                
Legumes such as kidney beans, lentils, chick peas, black-eyed peas, and lima beans
                
A diet rich in fruits and vegetables can increase important cholesterol-lowering compounds in your diet. These compounds, called plant stanols or sterols, work like soluble fiber.
                
A healthy diet also includes some types of fish, such as salmon, tuna (canned or fresh), and mackerel. These fish are a good source of omega-3 fatty acids. These acids may help protect the heart from blood clots and inflammation and reduce the risk of heart attack. Try to have about two fish meals every week.
                
You also should try to limit the amount of sodium (salt) that you eat. This means choosing low-salt and ""no added salt"" foods and seasonings at the table or while cooking. The Nutrition Facts label on food packaging shows the amount of sodium in the item.
                
Try to limit drinks with alcohol. Too much alcohol will raise your blood pressure and triglyceride level. (Triglycerides are a type of fat found in the blood.) Alcohol also adds extra calories, which will cause weight gain.
                
Men should have no more than two drinks containing alcohol a day. Women should have no more than one drink containing alcohol a day. One drink is a glass of wine, beer, or a small amount of hard liquor.
                
For more information about TLC, go to the National Heart, Lung, and Blood Institutes (NHLBIs) ""Your Guide to Lowering Your Cholesterol With TLC.""
                
Weight Management
                
If youre overweight or obese, losing weight can help lower LDL cholesterol. Maintaining a healthy weight is especially important if you have a condition called metabolic syndrome.
                
Metabolic syndrome is the name for a group of risk factors that raise your risk for heart disease and other health problems, such as diabetes and stroke.
                
The five metabolic risk factors are a large waistline (abdominal obesity), a high triglyceride level, a low HDL cholesterol level, high blood pressure, and high blood sugar. Metabolic syndrome is diagnosed if you have at least three of these metabolic risk factors.
                
Physical Activity
                
Routine physical activity can lower LDL cholesterol and triglycerides and raise your HDL cholesterol level.
                
People gain health benefits from as little as 60 minutes of moderate-intensity aerobic activity per week. The more active you are, the more you will benefit.
                
For more information about physical activity, go to the U.S. Department of Health and Human Services' ""2008 Physical Activity Guidelines for Americans,"" the Health Topics Physical Activity and Your Heart article, and the NHLBI's ""Your Guide to Physical Activity and Your Heart.""
                
Cholesterol-Lowering Medicines
                
In addition to lifestyle changes, your doctor may prescribe medicines to help lower your cholesterol. Even with medicines, you should continue the TLC program.
                
Medicines can help control high blood cholesterol, but they dont cure it. Thus, you must continue taking your medicine to keep your cholesterol level in the recommended range.
                
The five major types of cholesterol-lowering medicines are statins, bile acid sequestrants (seh-KWES-trants), nicotinic (nick-o-TIN-ick) acid, fibrates, and ezetimibe.
                
Statins work well at lowering LDL cholesterol. These medicines are safe for most people. Rare side effects include muscle and liver problems.
                
Bile acid sequestrants also help lower LDL cholesterol. These medicines usually arent prescribed as the only medicine to lower cholesterol. Sometimes theyre prescribed with statins.
                
Nicotinic acid lowers LDL cholesterol and triglycerides and raises HDL cholesterol. You should only use this type of medicine with a doctors supervision.
                
Fibrates lower triglycerides, and they may raise HDL cholesterol. When used with statins, fibrates may increase the risk of muscle problems.
                
Ezetimibe lowers LDL cholesterol. This medicine works by blocking the intestine from absorbing cholesterol.
                
While youre being treated for high blood cholesterol, youll need ongoing care. Your doctor will want to make sure your cholesterol levels are controlled. He or she also will want to check for other health problems.
                
If needed, your doctor may prescribe medicines for other health problems. Take all medicines exactly as your doctor prescribes. The combination of medicines may lower your risk for heart disease and heart attack.
                
While trying to manage your cholesterol, take steps to manage other heart disease risk factors too. For example, if you have high blood pressure, work with your doctor to lower it.
                
If you smoke, quit. Talk with your doctor about programs and products that can help you quit smoking. Also, try to avoid secondhand smoke. If youre overweight or obese, try to lose weight. Your doctor can help you create a reasonable weight-loss plan."
What is (are) Cockayne syndrome ?,"Cockayne syndrome is a rare condition which causes short stature, premature aging (progeria), severe photosensitivity, and moderate to severe learning delay. This syndrome also includes failure to thrive in the newborn, microcephaly, and impaired nervous system development. Other symptoms may include hearing loss, tooth decay, and eye and bone abnormalities.  Cockayne syndrome type 1 (type A) is sometimes called classic or ""moderate"" Cockayne syndrome and is diagnosed during early childhood. Cockayne syndrome type 2 (type B) is sometimes referred to as the severe or ""early-onset"" type. This more severe form presents with growth and developmental abnormalities at birth. The third type, Cockayne syndrome type 3 (type C) is a milder form of the disorder. Cockayne syndrome is caused by mutations in either the ERCC8 (CSA) or ERCC6 (CSB) genes and is inherited in an autosomal recessive pattern. The typical lifespan for individuals with Cockayne syndrome type 1 is ten to twenty years. Individuals with type 2 usually do not survive past childhood. Those with type 3 live into middle adulthood."
What is (are) High Blood Cholesterol ?,"HDL stands for high-density lipoproteins. (Lipoproteins are molecules that carry cholesterol through your bloodstream.) HDL cholesterol is sometimes called good cholesterol because it helps remove cholesterol from your artery walls and carries it to your liver. The liver then removes the cholesterol from your body. The higher your HDL cholesterol level, the lower your chances of getting heart disease."
What is (are) Partington syndrome ?,"Partington syndrome is a rare neurological condition that is primarily characterized by mild to moderate intellectual disability and dystonia of the hands. Other signs and symptoms may include dysarthria, behavioral abnormalities, recurrent seizures and/or an unusual gait (style of walking). Partington syndrome usually occurs in males; when it occurs in females, the signs and symptoms are often less severe. It is caused by changes (mutations) in the ARX gene and is inherited in an X-linked recessive manner. Treatment is based on the signs and symptoms present in each person."
What is (are) Elder Abuse ?,"Many older people are victims of elder abuse. It is the mistreatment of an older person, usually by a caregiver. It can happen within the family. It can also happen in assisted living facilities or nursing homes.    The mistreatment may be       - Physical, sexual, or emotional abuse    - Neglect or abandonment    - Financial abuse - stealing of money or belongings       Possible signs of elder abuse include unexplained bruises, burns, and injuries. There may also be bed sores and poor hygiene. The person may become withdrawn, agitated, and depressed. There may be a sudden change in the person's financial situation.    Elder abuse will not stop on its own. Someone else needs to step in and help. If you think that an older person is in urgent danger, call 9-1-1. Otherwise, contact adult protective services.    NIH: National Institute on Aging"
What is (are) congenital fibrosis of the extraocular muscles ?,"Congenital fibrosis of the extraocular muscles is a disorder that affects the muscles that surround the eyes. These muscles control eye movement and the position of the eyes (for example, looking straight ahead). Congenital fibrosis of the extraocular muscles prevents the normal development and function of these muscles. As a result, affected individuals are unable to move their eyes normally. Most people with this condition have difficulty looking upward, and their side-to-side eye movement may also be limited. The eyes may be misaligned such that they look in different directions (strabismus). Instead of moving their eyes, affected individuals may need to turn their head to track moving objects. Additionally, many people with congenital fibrosis of the extraocular muscles have droopy eyelids (ptosis), which further limits their vision.  Researchers have identified at least four forms of congenital fibrosis of the extraocular muscles, designated CFEOM1, CFEOM2, CFEOM3, and Tukel syndrome. The specific problems with eye movement vary among the types. Tukel syndrome is characterized by missing fingers (oligodactyly) and other hand abnormalities in addition to problems with eye movement."
What are the symptoms of Collagenous colitis ?,"What are the signs and symptoms of collagenous colitis? All individuals with collagenous colitis experience chronic, watery, non-bloody diarrhea which is what typically prompts individuals to seek medical attention. Onset of diarrhea may occur gradually over time or may be sudden and abrupt. Episodes of diarrhea may be intermittent and can occur over weeks, months or years. Other signs and symptoms that commonly occur in affected individuals include abdominal pain or cramping; flatulence; bloating; and weight loss. Incontinence, urgency, nausea, vomiting and fatigue have also been reported. Some individuals with collagenous colitis experience spontaneous remission even without treatment; however, relapses can occur."
Is Perry syndrome inherited ?,"This condition is inherited in an autosomal dominant pattern, which means one copy of the altered gene in each cell is sufficient to cause the disorder.  In most cases, an affected person inherits the mutation from one affected parent. However, some cases result from new mutations in the gene and occur in people with no history of the disorder in their family."
How many people are affected by progressive pseudorheumatoid dysplasia ?,"PPRD has been estimated to occur in approximately 1 per million people in the United Kingdom. The condition is thought to be more common in Turkey and the Middle East, although its prevalence in these regions is unknown. The condition in all regions is likely underdiagnosed because it is often misdiagnosed as juvenile rheumatoid arthritis."
Is Asperger syndrome inherited ?,"Autism spectrum disorders including Asperger syndrome have a tendency to run in families, but the inheritance pattern is unknown."
What are the treatments for Pulmonary alveolar proteinosis acquired ?,"How might acquired pulmonary alveolar proteinosis be treated? The treatment of PAP varies from case to case depending upon the age of an affected individual and severity of the disease. Approximately one-third of individuals with idiopathic PAP (of unknown cause) will improve without treatment (spontaneous remission). The other two-thirds may be treated by a whole lung lavage, a procedure in which one lung is cleansed with a salt solution while the other is pumped with pure oxygen. In some cases, the procedure may need to be performed once; in others it may need to be repeated many times over several years. In secondary PAP (due to environmental exposure or an underlying disorder), removal and avoidance of the causative agent (e.g., silica exposure) or treatment of the underlying disorder may improve symptoms. Inhaled GM-CSF (granulocyte-macrophage colony-stimulating factor), a blood-stimulating medication, has been shown to improve the condition in some individuals with PAP. Lung transplantation has been used to treat adults with PAP as a last resort. According to the medical literature, in some cases, PAP has recurred in adults who have received lung transplantation."
